DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Notificação por Município de notificação e Div.adm.estadual de notific
Período:2012
"Município de notificação";"3501 Grande São Paulo";"3502 Araçatuba";"3503 Araraquara";"3504 Baixada Santista";"3505 Barretos";"3506 Bauru";"3507 Campinas";"3508 Franca";"3509 Marília";"3510 Piracicaba";"3511 Presidente Prudente";"3512 Registro";"3513 Ribeirão Preto";"3514 São João da Boa Vista";"3515 São José do Rio Preto";"3516 Sorocaba";"3517 Taubaté";"Total"
"350010 Adamantina";-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;8
"350020 Adolfo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;3
"350030 Aguaí";-;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;14
"350060 Águas de São Pedro";-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;2
"350070 Agudos";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2
"350090 Altair";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;3
"350110 Alto Alegre";-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"350120 Álvares Florence";-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;3
"350130 Álvares Machado";-;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;-;34
"350160 Americana";-;-;-;-;-;-;183;-;-;-;-;-;-;-;-;-;-;183
"350170 Américo Brasiliense";-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22
"350180 Américo de Campos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2
"350190 Amparo";-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;8
"350210 Andradina";-;199;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;199
"350220 Angatuba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;3
"350230 Anhembi";-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;7
"350250 Aparecida";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;439;439
"350260 Aparecida d'Oeste";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2
"350280 Araçatuba";-;567;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;567
"350300 Aramina";-;-;-;-;-;-;-;55;-;-;-;-;-;-;-;-;-;55
"350320 Araraquara";-;-;147;-;-;-;-;-;-;-;-;-;-;-;-;-;-;147
"350330 Araras";-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;12
"350360 Areiópolis";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2
"350380 Artur Nogueira";-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;10
"350390 Arujá";6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"350400 Assis";-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;6
"350410 Atibaia";-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;13
"350420 Auriflama";-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"350430 Avaí";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"350440 Avanhandava";-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"350460 Bady Bassitt";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"350480 Bálsamo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;4
"350510 Barbosa";-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30
"350520 Bariri";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2
"350530 Barra Bonita";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2
"350550 Barretos";-;-;-;-;385;-;-;-;-;-;-;-;-;-;-;-;-;385
"350560 Barrinha";-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;14
"350570 Barueri";70;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;70
"350580 Bastos";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"350590 Batatais";-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;5
"350600 Bauru";-;-;-;-;-;37;-;-;-;-;-;-;-;-;-;-;-;37
"350610 Bebedouro";-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;12
"350620 Bento de Abreu";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350635 Bertioga";-;-;-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;25
"350640 Bilac";-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17
"350650 Birigui";-;157;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;157
"350730 Boracéia";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"350740 Borborema";-;-;215;-;-;-;-;-;-;-;-;-;-;-;-;-;-;215
"350750 Botucatu";-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;5
"350760 Bragança Paulista";-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;10
"350770 Braúna";-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"350775 Brejo Alegre";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350780 Brodowski";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;2
"350790 Brotas";-;-;-;-;-;258;-;-;-;-;-;-;-;-;-;-;-;258
"350800 Buri";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"350810 Buritama";-;69;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;69
"350820 Buritizal";-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;6
"350840 Cabreúva";-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;3
"350850 Caçapava";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29;29
"350860 Cachoeira Paulista";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36;36
"350880 Cafelândia";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2
"350900 Caieiras";40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40
"350910 Caiuá";-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;9
"350920 Cajamar";8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"350925 Cajati";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2
"350930 Cajobi";-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;10
"350940 Cajuru";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;2
"350950 Campinas";-;-;-;-;-;-;1222;-;-;-;-;-;-;-;-;-;-;1222
"350960 Campo Limpo Paulista";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;2
"350970 Campos do Jordão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"350990 Cananéia";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"350995 Canas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;13
"351000 Cândido Mota";-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;3
