DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Notificação por Município de notificação e Div.adm.estadual de notific
Período:2007
"Município de notificação";"3501 Grande São Paulo";"3502 Araçatuba";"3503 Araraquara";"3504 Baixada Santista";"3505 Barretos";"3506 Bauru";"3507 Campinas";"3508 Franca";"3509 Marília";"3510 Piracicaba";"3511 Presidente Prudente";"3512 Registro";"3513 Ribeirão Preto";"3514 São João da Boa Vista";"3515 São José do Rio Preto";"3516 Sorocaba";"3517 Taubaté";"Total"
"350750 Botucatu";-;-;-;-;-;35;-;-;-;-;-;-;-;-;-;-;-;35
"350760 Bragança Paulista";-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;28
"350770 Braúna";-;63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63
"350775 Brejo Alegre";-;97;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;97
"350780 Brodowski";-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;12
"350790 Brotas";-;-;-;-;-;60;-;-;-;-;-;-;-;-;-;-;-;60
"350810 Buritama";-;582;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;582
"350820 Buritizal";-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;7
"350830 Cabrália Paulista";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"350840 Cabreúva";-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;17
"350850 Caçapava";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;9
"350860 Cachoeira Paulista";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;30
"350870 Caconde";-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;6
"350880 Cafelândia";-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;15
"350890 Caiabu";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;2
"350900 Caieiras";13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"350910 Caiuá";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"350930 Cajobi";-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;23
"350940 Cajuru";-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;4
"350945 Campina do Monte Alegre";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"350950 Campinas";-;-;-;-;-;-;17306;-;-;-;-;-;-;-;-;-;-;17306
"350960 Campo Limpo Paulista";-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;23
"350970 Campos do Jordão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"350980 Campos Novos Paulista";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"350990 Cananéia";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"351000 Cândido Mota";-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;11
"351010 Cândido Rodrigues";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351020 Capão Bonito";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"351040 Capivari";-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;2
"351050 Caraguatatuba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;735;735
"351060 Carapicuíba";39;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39
"351070 Cardoso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;86;-;-;86
"351080 Casa Branca";-;-;-;-;-;-;-;-;-;-;-;-;-;29;-;-;-;29
"351100 Castilho";-;223;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;223
"351110 Catanduva";-;-;-;-;-;-;-;-;-;-;-;-;-;-;334;-;-;334
"351130 Cedral";-;-;-;-;-;-;-;-;-;-;-;-;-;-;87;-;-;87
"351140 Cerqueira César";-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;5
"351170 Charqueada";-;-;-;-;-;-;-;-;-;133;-;-;-;-;-;-;-;133
"355720 Chavantes";-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;5
"351190 Clementina";-;46;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;46
"351200 Colina";-;-;-;-;34;-;-;-;-;-;-;-;-;-;-;-;-;34
"351210 Colômbia";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;2
"351220 Conchal";-;-;-;-;-;-;-;-;-;97;-;-;-;-;-;-;-;97
