DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Notificação por Município de notificação e Div.adm.estadual de notific
Período:2010
"Município de notificação";"3501 Grande São Paulo";"3502 Araçatuba";"3503 Araraquara";"3504 Baixada Santista";"3505 Barretos";"3506 Bauru";"3507 Campinas";"3508 Franca";"3509 Marília";"3510 Piracicaba";"3511 Presidente Prudente";"3512 Registro";"3513 Ribeirão Preto";"3514 São João da Boa Vista";"3515 São José do Rio Preto";"3516 Sorocaba";"3517 Taubaté";"Total"
"350010 Adamantina";-;-;-;-;-;-;-;-;258;-;-;-;-;-;-;-;-;258
"350020 Adolfo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;59;-;-;59
"350030 Aguaí";-;-;-;-;-;-;-;-;-;-;-;-;-;322;-;-;-;322
"350040 Águas da Prata";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"350055 Águas de Santa Bárbara";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"350070 Agudos";-;-;-;-;-;107;-;-;-;-;-;-;-;-;-;-;-;107
"350080 Alfredo Marcondes";-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;6
"350090 Altair";-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;10
"350100 Altinópolis";-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;16
"350110 Alto Alegre";-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"350115 Alumínio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"350120 Álvares Florence";-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;6
"350130 Álvares Machado";-;-;-;-;-;-;-;-;-;-;46;-;-;-;-;-;-;46
"350140 Álvaro de Carvalho";-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;2
"350150 Alvinlândia";-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;14
"350160 Americana";-;-;-;-;-;-;637;-;-;-;-;-;-;-;-;-;-;637
"350170 Américo Brasiliense";-;-;92;-;-;-;-;-;-;-;-;-;-;-;-;-;-;92
"350180 Américo de Campos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;6
"350190 Amparo";-;-;-;-;-;-;32;-;-;-;-;-;-;-;-;-;-;32
"350200 Analândia";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"350210 Andradina";-;776;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;776
"350220 Angatuba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;3
"350230 Anhembi";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"350240 Anhumas";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"350250 Aparecida";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;8
"350260 Aparecida d'Oeste";-;-;-;-;-;-;-;-;-;-;-;-;-;-;38;-;-;38
"350275 Araçariguama";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"350280 Araçatuba";-;12112;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12112
"350290 Araçoiaba da Serra";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;3
"350300 Aramina";-;-;-;-;-;-;-;90;-;-;-;-;-;-;-;-;-;90
"350320 Araraquara";-;-;1358;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1358
"350330 Araras";-;-;-;-;-;-;-;-;-;232;-;-;-;-;-;-;-;232
"350335 Arco-Íris";-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;10
"350340 Arealva";-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;6
"350350 Areias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"350360 Areiópolis";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"350370 Ariranha";-;-;-;-;-;-;-;-;-;-;-;-;-;-;162;-;-;162
"350380 Artur Nogueira";-;-;-;-;-;-;203;-;-;-;-;-;-;-;-;-;-;203
"350390 Arujá";283;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;283
"350400 Assis";-;-;-;-;-;-;-;-;528;-;-;-;-;-;-;-;-;528
"350410 Atibaia";-;-;-;-;-;-;61;-;-;-;-;-;-;-;-;-;-;61
"350420 Auriflama";-;94;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;94
"350440 Avanhandava";-;163;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;163
"350450 Avaré";-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;12
"350460 Bady Bassitt";-;-;-;-;-;-;-;-;-;-;-;-;-;-;361;-;-;361
"350470 Balbinos";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2
"350480 Bálsamo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;150;-;-;150
"350490 Bananal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55;55
"350500 Barão de Antonina";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"350510 Barbosa";-;54;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;54
"350520 Bariri";-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;19
"350530 Barra Bonita";-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;12
"350550 Barretos";-;-;-;-;1085;-;-;-;-;-;-;-;-;-;-;-;-;1085
"350560 Barrinha";-;-;-;-;-;-;-;-;-;-;-;-;165;-;-;-;-;165
"350570 Barueri";277;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;277
"350580 Bastos";-;-;-;-;-;-;-;-;48;-;-;-;-;-;-;-;-;48
"350590 Batatais";-;-;-;-;-;-;-;-;-;-;-;-;90;-;-;-;-;90
"350600 Bauru";-;-;-;-;-;632;-;-;-;-;-;-;-;-;-;-;-;632
"350610 Bebedouro";-;-;-;-;516;-;-;-;-;-;-;-;-;-;-;-;-;516
"350620 Bento de Abreu";-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"350635 Bertioga";-;-;-;770;-;-;-;-;-;-;-;-;-;-;-;-;-;770
"350640 Bilac";-;83;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;83
"350650 Birigui";-;747;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;747
"350670 Boa Esperança do Sul";-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28
"350680 Bocaina";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"350700 Boituva";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;13
"350720 Borá";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"350740 Borborema";-;-;187;-;-;-;-;-;-;-;-;-;-;-;-;-;-;187
"350750 Botucatu";-;-;-;-;-;32;-;-;-;-;-;-;-;-;-;-;-;32
"350760 Bragança Paulista";-;-;-;-;-;-;47;-;-;-;-;-;-;-;-;-;-;47
"350770 Braúna";-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"350775 Brejo Alegre";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350780 Brodowski";-;-;-;-;-;-;-;-;-;-;-;-;192;-;-;-;-;192
"350790 Brotas";-;-;-;-;-;111;-;-;-;-;-;-;-;-;-;-;-;111
"350810 Buritama";-;99;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;99
"350820 Buritizal";-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;8
"350830 Cabrália Paulista";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"350840 Cabreúva";-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;6
"350850 Caçapava";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;351;351
"350860 Cachoeira Paulista";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;137;137
"350880 Cafelândia";-;-;-;-;-;29;-;-;-;-;-;-;-;-;-;-;-;29
