DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Notificação por Município de notificação e Div.adm.estadual de notific
Período:2009
"Município de notificação";"3501 Grande São Paulo";"3502 Araçatuba";"3503 Araraquara";"3504 Baixada Santista";"3505 Barretos";"3506 Bauru";"3507 Campinas";"3508 Franca";"3509 Marília";"3510 Piracicaba";"3511 Presidente Prudente";"3512 Registro";"3513 Ribeirão Preto";"3514 São João da Boa Vista";"3515 São José do Rio Preto";"3516 Sorocaba";"3517 Taubaté";"Total"
"350010 Adamantina";-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;2
"350020 Adolfo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2
"350030 Aguaí";-;-;-;-;-;-;-;-;-;-;-;-;-;85;-;-;-;85
"350050 Águas de Lindóia";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"350070 Agudos";-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;4
"350075 Alambari";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"350115 Alumínio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"350120 Álvares Florence";-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;3
"350130 Álvares Machado";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"350160 Americana";-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;13
"350170 Américo Brasiliense";-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"350180 Américo de Campos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;6
"350190 Amparo";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"350210 Andradina";-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"350260 Aparecida d'Oeste";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2
"350280 Araçatuba";-;504;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;504
"350290 Araçoiaba da Serra";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;4
"350320 Araraquara";-;-;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38
"350330 Araras";-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;21
"350370 Ariranha";-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;3
"350380 Artur Nogueira";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;2
"350390 Arujá";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350400 Assis";-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;4
"350410 Atibaia";-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;5
"350420 Auriflama";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350440 Avanhandava";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350460 Bady Bassitt";-;-;-;-;-;-;-;-;-;-;-;-;-;-;162;-;-;162
"350480 Bálsamo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;3
"350510 Barbosa";-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"350520 Bariri";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"350530 Barra Bonita";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"350550 Barretos";-;-;-;-;98;-;-;-;-;-;-;-;-;-;-;-;-;98
"350560 Barrinha";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"350570 Barueri";104;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;104
"350590 Batatais";-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;3
"350600 Bauru";-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;27
"350610 Bebedouro";-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;6
"350630 Bernardino de Campos";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"350635 Bertioga";-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"350640 Bilac";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350650 Birigui";-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
"350690 Bofete";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"350700 Boituva";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;6
"350710 Bom Jesus dos Perdões";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"350740 Borborema";-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350750 Botucatu";-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;5
"350760 Bragança Paulista";-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;5
"350780 Brodowski";-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;5
