DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Notificação por Município de notificação e Div.adm.estadual de notific
Período:2008
"Município de notificação";"3501 Grande São Paulo";"3502 Araçatuba";"3503 Araraquara";"3504 Baixada Santista";"3505 Barretos";"3506 Bauru";"3507 Campinas";"3508 Franca";"3509 Marília";"3510 Piracicaba";"3511 Presidente Prudente";"3512 Registro";"3513 Ribeirão Preto";"3514 São João da Boa Vista";"3515 São José do Rio Preto";"3516 Sorocaba";"3517 Taubaté";"Total"
"350010 Adamantina";-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;5
"350070 Agudos";-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;7
"350100 Altinópolis";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"350115 Alumínio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"350130 Álvares Machado";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;2
"350150 Alvinlândia";-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;2
"350160 Americana";-;-;-;-;-;-;80;-;-;-;-;-;-;-;-;-;-;80
"350170 Américo Brasiliense";-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28
"350180 Américo de Campos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"350190 Amparo";-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;8
"350210 Andradina";-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"350230 Anhembi";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"350250 Aparecida";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"350275 Araçariguama";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"350280 Araçatuba";-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"350300 Aramina";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;3
"350320 Araraquara";-;-;1239;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1239
"350330 Araras";-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;40
"350360 Areiópolis";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"350380 Artur Nogueira";-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;5
"350390 Arujá";7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"350400 Assis";-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;13
"350410 Atibaia";-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;11
"350430 Avaí";-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;8
"350450 Avaré";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2
"350460 Bady Bassitt";-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;4
"350470 Balbinos";-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;8
"350480 Bálsamo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2
"350510 Barbosa";-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
